id,nombre,idMarca,idEquipo
108,Genérico,40,24
109,Genérico,50,27
110,Genérico,28,14
111,Genérico,45,15
112,Genérico,37,21
113,Genérico,34,22
114,GK-150001,20,23
115,GL-2750-B,4,13
116,Grandstrea Gxv3350,21,23
117,GSP-2200,18,1
118,Gxv3550,21,23
119,HI-537DW,5,10
120,HSA-A005K,25,22
121,HSA-C001K,25,22
122,HT-750LCD,17,27
123,HTM-31,48,1
124,ID416,53,8
125,"iMac 27"" 5k",2,25
126,IMAC21,2,25
127,Inspiron 15,8,12
128,Internet 750U,56,27
129,iPhone 16 ProMax,2,2
130,K639,20,22
131,KB1576,36,22
132,KB161-T,8,22
133,KB212-B,8,22
134,KB212-B,8,25
135,KB2161,8,22
136,KB216d,8,22
137,ELIMINAR,25,22
138,KB216-L,8,22
139,KB216-T,8,22
140,KB217-T,8,22
141,KB611CL-SP,23,22
142,KB611CM-SP,23,22
143,KBAR211,25,22
144,KKS-0505,28,22
145,KKS-2513,28,22
146,KU-0225,30,22
147,KU-0316,25,22
148,KU-1156,25,22
149,KU-1619,30,22
150,KU-8825,30,22
151,KVS0866,30,22
152,L1706,25,13
153,L1710,25,13
154,L7ZF,52,13
155,M1212nf,25,10
156,LaserJet P1102W,25,10
157,LASERJET PRO MFPM476MW,25,10
158,Latitude 3420,8,12
159,Latitude 3550,8,12
160,Latitude 3560,8,12
161,Latitude 7300,8,12
162,LE1711,25,13
163,LE1901W,25,13
164,LE1901wm,25,13
165,LE-241,49,23
166,LEX-M14-002,31,10
167,LGS116PV2,33,21
168,LQ-2090,12,10
169,LS1922WA,30,13
170,LT-50KB538,27,24
171,M72z,30,25
172,M810z,30,25
173,Mavic 3T,9,5
174,MB360,63,18
175,MFX-8480DN,5,10
176,MP C401,45,10
177,MP C501,45,10
178,MS331dn,31,10
179,MX310dn,31,10
180,MX331adn,31,10
181,NB1800,51,27
182,NT-1011,17,27
183,NT501,17,27
184,NT-751,17,27
185,NT-761,17,27
186,OD2JV2,8,22
187,OF2JV2,8,22
188,OfficeJet Pro 9020,25,10
189,Omni 120-1106la,8,25
190,Omni 120-1107la,25,25
191,OptiPlex 3010,8,26
192,OptiPlex 5270,8,25
193,"OptiPlex 5270 ",8,25
194,OptiPlex 7010,8,26
195,OptiPlex 7040,8,25
196,OptiPlex 7440,8,25
197,OptiPlex 7445,8,25
198,OptiPlex 9020,8,26
199,OptiPlex 9020,8,13
200,OptiPlex 9030,8,25
201,P170St,8,13
202,P22V. G4,25,13
203,PB32A,12,10
204,PR1101U,25,22
205,Preferred Pro II-00XH712,30,22
206,Primacy,15,10
207,PRO MFP M428,25,10
208,ProBook 400 G5,25,12
209,ProBook 440 G4,25,12
210,ProBook 440 G5,25,12
211,ProBook 4510,25,12
212,ProBook 4530S,25,12
213,ProBook 455 G6,25,12
214,ProBook 465 G11,25,12
215,"ProDesk 400 G7 ",25,26
216,ProLiant DL380 Gen9,25,20
217,ProOne 400 G2,25,25
218,ProOne 400 G3,25,25
219,"ProOne 400 G3 ",25,25
220,ProOne 400 G5,25,25
221,ProOne 400 G6,25,25
222,ProOne 400 G9,25,25
223,ProOne 440 G9,25,25
224,PSAC86,49,14
225,R660xs,8,20
226,REV A01,8,22
227,REV A01,8,13
228,S/M,19,7
229,S1922,7,13
230,S1W000,30,25
231,Satellite C645-SP4140L,54,12
232,SBNB1000DR,51,27
233,SBNB750DR,51,27
234,SF5130,46,10
235,SIP-T21P,62,23
236,SIP-T22P,62,23
237,SIP-T23G,62,23
238,SK-2064,25,22
239,SK-2085,8,22
240,SK-2085,25,22
241,SK-2120,25,22
242,SK-8115,8,22
243,SK-8120,8,22
244,SK-8823,30,22
245,SK-8825,25,22
246,SK-8825,30,22
247,SL-801UL,17,27
248,SL-80UL,17,27
249,SL-80WL,17,27
250,Smart1000LCD,56,27
251,SP 3510SF,45,10
252,SU2200RTXLCD2U,56,27
253,SWT1300,26,22
254,T-4U,61,18
255,TASKAlfa 3253ci,29,10
256,TASKAlfa 3554ci,29,10
257,TASKAlfa 4054ci,29,10
258,ThinkBook 15 G2,30,12
259,ThinkCenter,30,25
260,ThinkCenter,30,22
261,ThinkCentre E73,30,26
262,THINKCENTRE EDGE 71,30,26
263,TL-SF1008D,55,21
264,TL-SF1008LP,55,21
265,TL-SG108PE (UN),55,21
266,TPA-D002K,25,22
267,TPA-L001K,25,22
268,TPA-N001K,25,22
269,TPA-P001K,25,22
270,TV-811SF32WHW,44,24
271,UAP-AC-LITE,58,6
272,UCS C200 M2,6,20
273,UCS C210 M2,6,20
274,VA2759-SMH,59,13
275,Vostrov131,8,12
276,VS16199,59,13
277,VS16403,59,13
278,VS17435,59,13
279,VS18858,59,13
280,VSR474-P,3,13
281,VVX150,43,23
282,WKB-20,35,22
283,XG-PCS-150,13,17
284,YLR-LW-2-5-40LB-N,41,25
285,Y-R0015,34,22
286,Z130,34,1
287,A1243,2,22
288,BL-C210A,40,28
289,UN43J5200AH,47,24
290,TPA-D005K,25,22
